BibliographyType,ISBN,Identifier,Author,Title,Journal,Volume,Number,Month,Pages,Year,Address,Note,URL,Booktitle,Chapter,Edition,Series,Editor,Publisher,ReportType,Howpublished,Institution,Organizations,School,Annote,Custom1,Custom2,Custom3,Custom4,Custom5
7,"","hunter_1928","","John Hunter's views on cancer","Annals of Internal Medicine",2,2,"Aug","222",1928,"","","http://annals.org/article.aspx?doi=10.7326/0003-4819-2-2-222","","","","","","","","","","","","","","","","",""
7,"","Doll_Hill_1950","Doll, Richard; Hill, A. Bradford","Smoking and Carcinoma of the Lung","British Medical Journal",2,4682,"Sep","739–748",1950,"","","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2038856/","","","","","","","","","","","","","","","","",""
7,"","Onuigbo_1962","Onuigbo, Wilson","Historical trends in cancer surgery","Medical History",6,2,"Apr","154–161",1962,"","","https://www.cambridge.org/core/product/identifier/S0025727300027125/type/journal_article","","","","","","","","","","","","","","","","",""
7,"","Epstein_1964","Epstein, M. A.; Achong, B. G.; Barr, Y. M.","Virus particles in cultured lymphoblasts from Burkitt’s lymphoma","Lancet (London, England)",1,7335,"Mar","702–703",1964,"","","","","","","","","","","","","","","","","","","",""
7,"","Herbst_1971","Herbst, A. L.; Ulfelder, H.; Poskanzer, D. C.","Adenocarcinoma of the vagina. Association of maternal stilbestrol therapy with tumor appearance in young women","The New England Journal of Medicine",284,15,"Apr","878–881",1971,"","","","","","","","","","","","","","","","","","","",""
7,"","kaposhi"," Center for Disease Control and Prevention (CDC)","A Cluster of Kaposi’s Sarcoma and Pneumocystis carinii Pneumonia among Homosexual Male Residents of Los Angeles and range Counties, California","",,,"","",1981,"","","https://www.cdc.gov/mmwr/preview/mmwrhtml/00001114.htm","","","","","","","","","","","","","","","","",""
7,"","Adams_1982","Adams, Evelyn E.","Rare Cancers in Persons Exposed to Internal Radium","JAMA: The Journal of the American Medical Association",247,20,"May","2778",1982,"","","http://jama.jamanetwork.com/article.aspx?doi=10.1001/jama.1982.03320450016010","","","","","","","","","","","","","","","","",""
7,"","Morgan_1982","Morgan, D. A.; Caillaud, J. M.; Bellet, D.; Eschwege, F.","Gonadotrophin-producing seminoma: a distinct category of germ cell neoplasm","Clinical Radiology",33,2,"Mar","149–153",1982,"","","","","","","","","","","","","","","","","","","",""
7,"","Mirimanoff_1985","Mirimanoff, R. O.; Shipley, W. U.; Dosoretz, D. E.; Meyer, J. E.","Pure seminoma of the testis: the results of radiation therapy in patients with elevated human chorionic gonadotropin titers","The Journal of Urology",134,6,"Dec","1124–1126",1985,"","","","","","","","","","","","","","","","","","","",""
7,"","Sikora_Smedley_1986","Sikora, K.; Smedley, H.","Rare cancers and specialist centres","BMJ",292,6524,"Mar","898–898",1986,"","","https://www.bmj.com/lookup/doi/10.1136/bmj.292.6524.898","","","","","","","","","","","","","","","","",""
